areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
N09000003,Belfast,utla,2022-03-02,113850,,,428,0
N09000003,Belfast,utla,2022-03-01,113422,594,,494,0
N09000003,Belfast,utla,2022-02-28,112928,594,,966,0
N09000003,Belfast,utla,2022-02-27,111962,594,,0,
N09000003,Belfast,utla,2022-02-26,111962,594,,0,
N09000003,Belfast,utla,2022-02-25,111962,594,,403,0
N09000003,Belfast,utla,2022-02-24,111559,594,,463,1
N09000003,Belfast,utla,2022-02-23,111096,594,,435,1
N09000003,Belfast,utla,2022-02-22,110661,593,,585,1
N09000003,Belfast,utla,2022-02-21,110076,592,,1173,3
N09000003,Belfast,utla,2022-02-20,108903,591,,0,0
N09000003,Belfast,utla,2022-02-19,108903,589,,0,0
N09000003,Belfast,utla,2022-02-18,108903,589,,464,0
N09000003,Belfast,utla,2022-02-17,108439,589,,581,0
N09000003,Belfast,utla,2022-02-16,107858,589,,540,2
N09000003,Belfast,utla,2022-02-15,107318,588,,537,0
N09000003,Belfast,utla,2022-02-14,106781,587,,1370,0
N09000003,Belfast,utla,2022-02-13,105411,586,,0,0
N09000003,Belfast,utla,2022-02-12,105411,586,,0,0
N09000003,Belfast,utla,2022-02-11,105411,586,,537,0
N09000003,Belfast,utla,2022-02-10,104874,586,,776,1
N09000003,Belfast,utla,2022-02-09,104098,586,,794,0
N09000003,Belfast,utla,2022-02-08,103304,585,,809,1
N09000003,Belfast,utla,2022-02-07,102495,585,,1806,1
N09000003,Belfast,utla,2022-02-06,100689,584,,0,0
N09000003,Belfast,utla,2022-02-05,100689,584,,0,0
N09000003,Belfast,utla,2022-02-04,100689,583,,759,0
N09000003,Belfast,utla,2022-02-03,99930,583,,776,0
N09000003,Belfast,utla,2022-02-02,99154,583,,909,1
N09000003,Belfast,utla,2022-02-01,98245,583,,939,0
N09000003,Belfast,utla,2022-01-31,97306,582,,2471,0
N09000003,Belfast,utla,2022-01-30,94835,582,,0,0
N09000003,Belfast,utla,2022-01-29,94835,582,,0,0
N09000003,Belfast,utla,2022-01-28,94835,582,,667,2
N09000003,Belfast,utla,2022-01-27,94168,582,,790,1
N09000003,Belfast,utla,2022-01-26,93378,579,,724,1
N09000003,Belfast,utla,2022-01-25,92654,579,,843,2
N09000003,Belfast,utla,2022-01-24,91811,578,,1782,1
N09000003,Belfast,utla,2022-01-23,90029,576,,0,0
N09000003,Belfast,utla,2022-01-22,90029,576,,0,0
N09000003,Belfast,utla,2022-01-21,90029,576,,579,1
N09000003,Belfast,utla,2022-01-20,89450,575,,636,1
N09000003,Belfast,utla,2022-01-19,88814,574,,738,1
N09000003,Belfast,utla,2022-01-18,88076,573,,728,3
N09000003,Belfast,utla,2022-01-17,87348,572,,1378,2
N09000003,Belfast,utla,2022-01-16,85970,570,,0,0
N09000003,Belfast,utla,2022-01-15,85970,568,,0,0
N09000003,Belfast,utla,2022-01-14,85970,567,,548,2
N09000003,Belfast,utla,2022-01-13,85422,567,,528,3
N09000003,Belfast,utla,2022-01-12,84894,563,,506,0
N09000003,Belfast,utla,2022-01-11,84388,562,,592,1
N09000003,Belfast,utla,2022-01-10,83796,562,,1732,4
N09000003,Belfast,utla,2022-01-09,82064,562,,0,0
N09000003,Belfast,utla,2022-01-08,82064,560,,0,0
N09000003,Belfast,utla,2022-01-07,82064,559,,1052,0
N09000003,Belfast,utla,2022-01-06,81012,557,,1282,0
N09000003,Belfast,utla,2022-01-05,79730,557,,1286,1
N09000003,Belfast,utla,2022-01-04,78444,557,,4969,3
N09000003,Belfast,utla,2022-01-03,73475,555,,0,0
N09000003,Belfast,utla,2022-01-02,73475,554,,0,0
N09000003,Belfast,utla,2022-01-01,73475,554,,0,0
N09000003,Belfast,utla,2021-12-31,73475,553,,1242,0
N09000003,Belfast,utla,2021-12-30,72233,553,,779,1
N09000003,Belfast,utla,2021-12-29,71454,553,,4195,3
N09000003,Belfast,utla,2021-12-28,67259,552,,0,0
N09000003,Belfast,utla,2021-12-27,67259,552,,0,0
N09000003,Belfast,utla,2021-12-26,67259,551,,0,0
N09000003,Belfast,utla,2021-12-25,67259,551,,0,0
N09000003,Belfast,utla,2021-12-24,67259,549,,697,1
N09000003,Belfast,utla,2021-12-23,66562,549,,676,0
N09000003,Belfast,utla,2021-12-22,65886,548,,680,0
N09000003,Belfast,utla,2021-12-21,65206,548,,391,0
N09000003,Belfast,utla,2021-12-20,64815,548,,1185,2
N09000003,Belfast,utla,2021-12-19,63630,548,,0,0
N09000003,Belfast,utla,2021-12-18,63630,548,,0,0
N09000003,Belfast,utla,2021-12-17,63630,547,,339,0
N09000003,Belfast,utla,2021-12-16,63291,546,,402,2
N09000003,Belfast,utla,2021-12-15,62889,546,,386,1
N09000003,Belfast,utla,2021-12-14,62503,543,,248,0
N09000003,Belfast,utla,2021-12-13,62255,543,,716,4
N09000003,Belfast,utla,2021-12-12,61539,542,,0,0
N09000003,Belfast,utla,2021-12-11,61539,541,,0,0
N09000003,Belfast,utla,2021-12-10,61539,541,,287,0
N09000003,Belfast,utla,2021-12-09,61252,540,,303,0
N09000003,Belfast,utla,2021-12-08,60949,539,,307,0
N09000003,Belfast,utla,2021-12-07,60642,539,,241,2
N09000003,Belfast,utla,2021-12-06,60401,539,,702,5
N09000003,Belfast,utla,2021-12-05,59699,537,,0,0
N09000003,Belfast,utla,2021-12-04,59699,537,,0,0
N09000003,Belfast,utla,2021-12-03,59699,535,,327,2
N09000003,Belfast,utla,2021-12-02,59372,534,,398,0
N09000003,Belfast,utla,2021-12-01,58974,533,,372,0
N09000003,Belfast,utla,2021-11-30,58602,532,,218,0
N09000003,Belfast,utla,2021-11-29,58384,532,,755,0
N09000003,Belfast,utla,2021-11-28,57629,532,,0,0
N09000003,Belfast,utla,2021-11-27,57629,532,,0,0
N09000003,Belfast,utla,2021-11-26,57629,532,,293,3
N09000003,Belfast,utla,2021-11-25,57336,532,,252,0
N09000003,Belfast,utla,2021-11-24,57084,529,,336,2
N09000003,Belfast,utla,2021-11-23,56748,529,,239,0
N09000003,Belfast,utla,2021-11-22,56509,527,,822,1
N09000003,Belfast,utla,2021-11-21,55687,526,,0,0
N09000003,Belfast,utla,2021-11-20,55687,525,,0,0
N09000003,Belfast,utla,2021-11-19,55687,525,,299,2
N09000003,Belfast,utla,2021-11-18,55388,525,,260,1
N09000003,Belfast,utla,2021-11-17,55128,523,,274,0
N09000003,Belfast,utla,2021-11-16,54854,522,,260,1
N09000003,Belfast,utla,2021-11-15,54594,522,,662,0
N09000003,Belfast,utla,2021-11-14,53932,521,,0,0
N09000003,Belfast,utla,2021-11-13,53932,521,,0,0
N09000003,Belfast,utla,2021-11-12,53932,521,,139,1
N09000003,Belfast,utla,2021-11-11,53793,521,,197,1
N09000003,Belfast,utla,2021-11-10,53596,519,,254,1
N09000003,Belfast,utla,2021-11-09,53342,519,,229,3
N09000003,Belfast,utla,2021-11-08,53113,516,,485,3
