areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
E08000025,Birmingham,utla,2022-03-02,317735,,,317,2
E08000025,Birmingham,utla,2022-03-01,317418,3360,,292,5
E08000025,Birmingham,utla,2022-02-28,317126,3360,,654,2
E08000025,Birmingham,utla,2022-02-27,316472,3360,,0,
E08000025,Birmingham,utla,2022-02-26,316472,3359,,0,
E08000025,Birmingham,utla,2022-02-25,316472,3359,,255,1
E08000025,Birmingham,utla,2022-02-24,316217,3357,,343,0
E08000025,Birmingham,utla,2022-02-23,315874,3355,,334,5
E08000025,Birmingham,utla,2022-02-22,315540,3355,,316,2
E08000025,Birmingham,utla,2022-02-21,315224,3354,,307,0
E08000025,Birmingham,utla,2022-02-20,314917,3351,,295,2
E08000025,Birmingham,utla,2022-02-19,314622,3349,,341,3
E08000025,Birmingham,utla,2022-02-18,314281,3347,,473,4
E08000025,Birmingham,utla,2022-02-17,313808,3346,,450,1
E08000025,Birmingham,utla,2022-02-16,313358,3345,,485,1
E08000025,Birmingham,utla,2022-02-15,312873,3343,,473,6
E08000025,Birmingham,utla,2022-02-14,312400,3343,,373,1
E08000025,Birmingham,utla,2022-02-13,312027,3341,,417,3
E08000025,Birmingham,utla,2022-02-12,311610,3337,,572,2
E08000025,Birmingham,utla,2022-02-11,311038,3336,,563,2
E08000025,Birmingham,utla,2022-02-10,310475,3334,,633,3
E08000025,Birmingham,utla,2022-02-09,309842,3332,,824,8
E08000025,Birmingham,utla,2022-02-08,309018,3331,,764,1
E08000025,Birmingham,utla,2022-02-07,308254,3329,,531,3
E08000025,Birmingham,utla,2022-02-06,307723,3323,,717,0
E08000025,Birmingham,utla,2022-02-05,307006,3319,,861,7
E08000025,Birmingham,utla,2022-02-04,306145,3317,,1096,6
E08000025,Birmingham,utla,2022-02-03,305049,3314,,1045,8
E08000025,Birmingham,utla,2022-02-02,304004,3308,,1148,3
E08000025,Birmingham,utla,2022-02-01,302856,3302,,1644,25
E08000025,Birmingham,utla,2022-01-31,301212,3299,,20858,2
E08000025,Birmingham,utla,2022-01-30,280354,3296,,783,3
E08000025,Birmingham,utla,2022-01-29,279571,3293,,1313,3
E08000025,Birmingham,utla,2022-01-28,278258,3287,,1195,4
E08000025,Birmingham,utla,2022-01-27,277063,3285,,1408,6
E08000025,Birmingham,utla,2022-01-26,275655,3283,,1460,9
E08000025,Birmingham,utla,2022-01-25,274195,3281,,1285,8
E08000025,Birmingham,utla,2022-01-24,272910,3277,,1353,0
E08000025,Birmingham,utla,2022-01-23,271557,3273,,1319,0
E08000025,Birmingham,utla,2022-01-22,270238,3265,,1393,12
E08000025,Birmingham,utla,2022-01-21,268845,3263,,1640,6
E08000025,Birmingham,utla,2022-01-20,267205,3258,,2023,3
E08000025,Birmingham,utla,2022-01-19,265182,3250,,1869,6
E08000025,Birmingham,utla,2022-01-18,263313,3246,,1705,6
E08000025,Birmingham,utla,2022-01-17,261608,3245,,1638,1
E08000025,Birmingham,utla,2022-01-16,259970,3236,,1355,4
E08000025,Birmingham,utla,2022-01-15,258615,3231,,1736,8
E08000025,Birmingham,utla,2022-01-14,256879,3224,,2583,3
E08000025,Birmingham,utla,2022-01-13,254296,3218,,1778,4
E08000025,Birmingham,utla,2022-01-12,252518,3212,,2912,4
E08000025,Birmingham,utla,2022-01-11,249606,3209,,2596,8
E08000025,Birmingham,utla,2022-01-10,247010,3204,,2239,2
E08000025,Birmingham,utla,2022-01-09,244771,3199,,2309,6
E08000025,Birmingham,utla,2022-01-08,242462,3193,,2578,7
E08000025,Birmingham,utla,2022-01-07,239884,3187,,3196,4
E08000025,Birmingham,utla,2022-01-06,236688,3180,,3071,2
E08000025,Birmingham,utla,2022-01-05,233617,3175,,3443,0
E08000025,Birmingham,utla,2022-01-04,230174,3170,,2005,0
E08000025,Birmingham,utla,2022-01-03,228169,3167,,1980,1
E08000025,Birmingham,utla,2022-01-02,226189,3163,,1845,3
E08000025,Birmingham,utla,2022-01-01,224344,3161,,2687,3
E08000025,Birmingham,utla,2021-12-31,221657,3160,,2602,4
E08000025,Birmingham,utla,2021-12-30,219055,3155,,2936,4
E08000025,Birmingham,utla,2021-12-29,216119,3150,,2493,2
E08000025,Birmingham,utla,2021-12-28,213626,3146,,2052,0
E08000025,Birmingham,utla,2021-12-27,211574,3143,,1362,5
E08000025,Birmingham,utla,2021-12-26,210212,3139,,1622,0
E08000025,Birmingham,utla,2021-12-25,208590,3138,,1958,0
E08000025,Birmingham,utla,2021-12-24,206632,3137,,1229,1
E08000025,Birmingham,utla,2021-12-23,205403,3133,,1915,1
E08000025,Birmingham,utla,2021-12-22,203488,3132,,1274,4
