areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E08000025,Birmingham,utla,2022-03-01,68.5,62.0,40.8
E08000025,Birmingham,utla,2022-02-28,68.4,62.0,40.8
E08000025,Birmingham,utla,2022-02-27,68.4,61.9,40.8
E08000025,Birmingham,utla,2022-02-26,68.4,61.9,40.8
E08000025,Birmingham,utla,2022-02-25,68.4,61.9,40.7
E08000025,Birmingham,utla,2022-02-24,68.4,61.9,40.7
E08000025,Birmingham,utla,2022-02-23,68.4,61.8,40.7
E08000025,Birmingham,utla,2022-02-22,68.4,61.8,40.7
E08000025,Birmingham,utla,2022-02-21,68.3,61.8,40.6
E08000025,Birmingham,utla,2022-02-20,68.3,61.8,40.6
E08000025,Birmingham,utla,2022-02-19,68.3,61.7,40.6
E08000025,Birmingham,utla,2022-02-18,68.3,61.7,40.6
E08000025,Birmingham,utla,2022-02-17,68.3,61.7,40.5
E08000025,Birmingham,utla,2022-02-16,68.3,61.6,40.5
E08000025,Birmingham,utla,2022-02-15,68.3,61.6,40.5
E08000025,Birmingham,utla,2022-02-14,68.2,61.5,40.4
E08000025,Birmingham,utla,2022-02-13,68.2,61.5,40.4
E08000025,Birmingham,utla,2022-02-12,68.2,61.5,40.4
E08000025,Birmingham,utla,2022-02-11,68.2,61.4,40.3
E08000025,Birmingham,utla,2022-02-10,68.2,61.4,40.3
E08000025,Birmingham,utla,2022-02-09,68.2,61.3,40.3
E08000025,Birmingham,utla,2022-02-08,68.1,61.3,40.2
E08000025,Birmingham,utla,2022-02-07,68.1,61.2,40.2
E08000025,Birmingham,utla,2022-02-06,68.1,61.2,40.1
E08000025,Birmingham,utla,2022-02-05,68.1,61.2,40.1
E08000025,Birmingham,utla,2022-02-04,68.1,61.1,40.1
E08000025,Birmingham,utla,2022-02-03,68.1,61.1,40.0
E08000025,Birmingham,utla,2022-02-02,68.0,61.0,40.0
E08000025,Birmingham,utla,2022-02-01,68.0,61.0,39.9
E08000025,Birmingham,utla,2022-01-31,68.0,60.9,39.9
E08000025,Birmingham,utla,2022-01-30,67.9,60.9,39.9
E08000025,Birmingham,utla,2022-01-29,67.9,60.8,39.8
E08000025,Birmingham,utla,2022-01-28,67.9,60.8,39.8
E08000025,Birmingham,utla,2022-01-27,67.9,60.7,39.7
E08000025,Birmingham,utla,2022-01-26,67.8,60.7,39.6
E08000025,Birmingham,utla,2022-01-25,67.8,60.6,39.6
E08000025,Birmingham,utla,2022-01-24,67.7,60.5,39.5
E08000025,Birmingham,utla,2022-01-23,67.7,60.5,39.4
E08000025,Birmingham,utla,2022-01-22,67.7,60.4,39.4
E08000025,Birmingham,utla,2022-01-21,67.7,60.4,39.3
E08000025,Birmingham,utla,2022-01-20,67.6,60.3,39.2
E08000025,Birmingham,utla,2022-01-19,67.6,60.3,39.2
E08000025,Birmingham,utla,2022-01-18,67.6,60.3,39.1
E08000025,Birmingham,utla,2022-01-17,67.5,60.2,39.0
E08000025,Birmingham,utla,2022-01-16,67.5,60.1,38.9
E08000025,Birmingham,utla,2022-01-15,67.4,60.1,38.8
E08000025,Birmingham,utla,2022-01-14,67.4,60.1,38.8
E08000025,Birmingham,utla,2022-01-13,67.4,60.0,38.6
E08000025,Birmingham,utla,2022-01-12,67.3,60.0,38.5
E08000025,Birmingham,utla,2022-01-11,67.3,59.9,38.4
E08000025,Birmingham,utla,2022-01-10,67.3,59.9,38.2
E08000025,Birmingham,utla,2022-01-09,67.2,59.9,38.1
E08000025,Birmingham,utla,2022-01-08,67.2,59.8,38.0
E08000025,Birmingham,utla,2022-01-07,67.1,59.8,37.7
E08000025,Birmingham,utla,2022-01-06,67.1,59.7,37.5
E08000025,Birmingham,utla,2022-01-05,67.1,59.7,37.3
E08000025,Birmingham,utla,2022-01-04,67.0,59.6,37.1
E08000025,Birmingham,utla,2022-01-03,67.0,59.6,36.9
E08000025,Birmingham,utla,2022-01-02,66.9,59.5,36.7
E08000025,Birmingham,utla,2022-01-01,66.9,59.5,36.6
E08000025,Birmingham,utla,2021-12-31,66.9,59.5,36.5
E08000025,Birmingham,utla,2021-12-30,66.9,59.4,36.3
E08000025,Birmingham,utla,2021-12-29,66.8,59.4,36.0
E08000025,Birmingham,utla,2021-12-28,66.7,59.3,35.5
E08000025,Birmingham,utla,2021-12-27,66.7,59.3,35.3
E08000025,Birmingham,utla,2021-12-26,66.7,59.2,35.0
E08000025,Birmingham,utla,2021-12-25,66.7,59.2,35.0
E08000025,Birmingham,utla,2021-12-24,66.7,59.2,35.0
E08000025,Birmingham,utla,2021-12-23,66.6,59.2,34.8
E08000025,Birmingham,utla,2021-12-22,66.6,59.1,34.1
E08000025,Birmingham,utla,2021-12-21,66.5,59.0,33.3
E08000025,Birmingham,utla,2021-12-20,66.4,58.9,32.5
E08000025,Birmingham,utla,2021-12-19,66.3,58.8,31.5
E08000025,Birmingham,utla,2021-12-18,66.3,58.8,30.6
E08000025,Birmingham,utla,2021-12-17,66.2,58.7,29.5
E08000025,Birmingham,utla,2021-12-16,66.1,58.6,28.5
