areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
E06000023,"Bristol, City of",utla,2022-03-02,142833,,,363,0
E06000023,"Bristol, City of",utla,2022-03-01,142470,667,,342,0
E06000023,"Bristol, City of",utla,2022-02-28,142128,667,,703,0
E06000023,"Bristol, City of",utla,2022-02-27,141425,667,,0,
E06000023,"Bristol, City of",utla,2022-02-26,141425,667,,0,
E06000023,"Bristol, City of",utla,2022-02-25,141425,667,,266,1
E06000023,"Bristol, City of",utla,2022-02-24,141159,667,,345,0
E06000023,"Bristol, City of",utla,2022-02-23,140814,666,,302,2
E06000023,"Bristol, City of",utla,2022-02-22,140512,666,,346,0
E06000023,"Bristol, City of",utla,2022-02-21,140166,666,,322,0
E06000023,"Bristol, City of",utla,2022-02-20,139844,666,,259,0
E06000023,"Bristol, City of",utla,2022-02-19,139585,666,,404,0
E06000023,"Bristol, City of",utla,2022-02-18,139181,665,,495,0
E06000023,"Bristol, City of",utla,2022-02-17,138686,664,,511,0
E06000023,"Bristol, City of",utla,2022-02-16,138175,664,,515,1
E06000023,"Bristol, City of",utla,2022-02-15,137660,664,,477,0
E06000023,"Bristol, City of",utla,2022-02-14,137183,664,,370,0
E06000023,"Bristol, City of",utla,2022-02-13,136813,664,,359,1
E06000023,"Bristol, City of",utla,2022-02-12,136454,664,,426,1
E06000023,"Bristol, City of",utla,2022-02-11,136028,663,,520,2
E06000023,"Bristol, City of",utla,2022-02-10,135508,662,,610,0
E06000023,"Bristol, City of",utla,2022-02-09,134898,661,,684,1
E06000023,"Bristol, City of",utla,2022-02-08,134214,660,,643,1
E06000023,"Bristol, City of",utla,2022-02-07,133571,660,,485,0
E06000023,"Bristol, City of",utla,2022-02-06,133086,660,,471,2
E06000023,"Bristol, City of",utla,2022-02-05,132615,660,,621,2
E06000023,"Bristol, City of",utla,2022-02-04,131994,660,,773,2
E06000023,"Bristol, City of",utla,2022-02-03,131221,659,,840,1
E06000023,"Bristol, City of",utla,2022-02-02,130381,658,,899,5
E06000023,"Bristol, City of",utla,2022-02-01,129482,656,,1096,5
E06000023,"Bristol, City of",utla,2022-01-31,128386,654,,7978,0
E06000023,"Bristol, City of",utla,2022-01-30,120408,652,,618,1
E06000023,"Bristol, City of",utla,2022-01-29,119790,650,,649,0
E06000023,"Bristol, City of",utla,2022-01-28,119141,649,,813,4
E06000023,"Bristol, City of",utla,2022-01-27,118328,647,,806,2
E06000023,"Bristol, City of",utla,2022-01-26,117522,644,,815,2
E06000023,"Bristol, City of",utla,2022-01-25,116707,643,,675,3
E06000023,"Bristol, City of",utla,2022-01-24,116032,640,,667,1
E06000023,"Bristol, City of",utla,2022-01-23,115365,638,,594,0
E06000023,"Bristol, City of",utla,2022-01-22,114771,637,,582,0
E06000023,"Bristol, City of",utla,2022-01-21,114189,634,,716,1
E06000023,"Bristol, City of",utla,2022-01-20,113473,633,,693,1
E06000023,"Bristol, City of",utla,2022-01-19,112780,632,,813,0
E06000023,"Bristol, City of",utla,2022-01-18,111967,631,,658,2
E06000023,"Bristol, City of",utla,2022-01-17,111309,630,,538,1
E06000023,"Bristol, City of",utla,2022-01-16,110771,630,,480,1
E06000023,"Bristol, City of",utla,2022-01-15,110291,628,,587,0
E06000023,"Bristol, City of",utla,2022-01-14,109704,627,,617,2
E06000023,"Bristol, City of",utla,2022-01-13,109087,625,,698,3
E06000023,"Bristol, City of",utla,2022-01-12,108389,625,,783,4
E06000023,"Bristol, City of",utla,2022-01-11,107606,624,,516,2
E06000023,"Bristol, City of",utla,2022-01-10,107090,621,,863,2
E06000023,"Bristol, City of",utla,2022-01-09,106227,620,,889,0
E06000023,"Bristol, City of",utla,2022-01-08,105338,618,,1133,0
E06000023,"Bristol, City of",utla,2022-01-07,104205,617,,1184,0
E06000023,"Bristol, City of",utla,2022-01-06,103021,617,,1136,1
E06000023,"Bristol, City of",utla,2022-01-05,101885,617,,1458,1
E06000023,"Bristol, City of",utla,2022-01-04,100427,617,,1204,0
E06000023,"Bristol, City of",utla,2022-01-03,99223,617,,770,0
E06000023,"Bristol, City of",utla,2022-01-02,98453,615,,967,1
E06000023,"Bristol, City of",utla,2022-01-01,97486,614,,1153,2
E06000023,"Bristol, City of",utla,2021-12-31,96333,613,,1229,2
E06000023,"Bristol, City of",utla,2021-12-30,95104,613,,1205,1
E06000023,"Bristol, City of",utla,2021-12-29,93899,610,,1084,0
E06000023,"Bristol, City of",utla,2021-12-28,92815,608,,872,0
E06000023,"Bristol, City of",utla,2021-12-27,91943,607,,932,0
E06000023,"Bristol, City of",utla,2021-12-26,91011,607,,1030,0
E06000023,"Bristol, City of",utla,2021-12-25,89981,607,,1029,0
E06000023,"Bristol, City of",utla,2021-12-24,88952,606,,860,0
E06000023,"Bristol, City of",utla,2021-12-23,88092,605,,1181,0
E06000023,"Bristol, City of",utla,2021-12-22,86911,605,,794,1
E06000023,"Bristol, City of",utla,2021-12-21,86117,605,,1097,2
E06000023,"Bristol, City of",utla,2021-12-20,85020,605,,873,0
E06000023,"Bristol, City of",utla,2021-12-19,84147,603,,789,1
E06000023,"Bristol, City of",utla,2021-12-18,83358,603,,574,1
E06000023,"Bristol, City of",utla,2021-12-17,82784,602,,465,0
E06000023,"Bristol, City of",utla,2021-12-16,82319,601,,671,3
E06000023,"Bristol, City of",utla,2021-12-15,81648,600,,448,1
E06000023,"Bristol, City of",utla,2021-12-14,81200,600,,386,0
E06000023,"Bristol, City of",utla,2021-12-13,80814,597,,444,0
E06000023,"Bristol, City of",utla,2021-12-12,80370,596,,272,0
E06000023,"Bristol, City of",utla,2021-12-11,80098,596,,331,1
E06000023,"Bristol, City of",utla,2021-12-10,79767,596,,336,0
E06000023,"Bristol, City of",utla,2021-12-09,79431,596,,334,2
E06000023,"Bristol, City of",utla,2021-12-08,79097,595,,365,2
E06000023,"Bristol, City of",utla,2021-12-07,78732,594,,268,2
E06000023,"Bristol, City of",utla,2021-12-06,78464,594,,312,0
