areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E06000023,"Bristol, City of",utla,2022-03-01,78.7,73.4,56.6
E06000023,"Bristol, City of",utla,2022-02-28,78.7,73.3,56.6
E06000023,"Bristol, City of",utla,2022-02-27,78.7,73.3,56.6
E06000023,"Bristol, City of",utla,2022-02-26,78.7,73.3,56.6
E06000023,"Bristol, City of",utla,2022-02-25,78.7,73.3,56.5
E06000023,"Bristol, City of",utla,2022-02-24,78.7,73.3,56.5
E06000023,"Bristol, City of",utla,2022-02-23,78.7,73.2,56.4
E06000023,"Bristol, City of",utla,2022-02-22,78.7,73.2,56.4
E06000023,"Bristol, City of",utla,2022-02-21,78.6,73.2,56.3
E06000023,"Bristol, City of",utla,2022-02-20,78.6,73.2,56.3
E06000023,"Bristol, City of",utla,2022-02-19,78.6,73.2,56.3
E06000023,"Bristol, City of",utla,2022-02-18,78.6,73.1,56.2
E06000023,"Bristol, City of",utla,2022-02-17,78.6,73.1,56.2
E06000023,"Bristol, City of",utla,2022-02-16,78.6,73.1,56.1
E06000023,"Bristol, City of",utla,2022-02-15,78.6,73.0,56.1
E06000023,"Bristol, City of",utla,2022-02-14,78.6,73.0,56.0
E06000023,"Bristol, City of",utla,2022-02-13,78.5,73.0,56.0
E06000023,"Bristol, City of",utla,2022-02-12,78.5,73.0,55.9
E06000023,"Bristol, City of",utla,2022-02-11,78.5,72.9,55.9
E06000023,"Bristol, City of",utla,2022-02-10,78.5,72.9,55.8
E06000023,"Bristol, City of",utla,2022-02-09,78.5,72.8,55.7
E06000023,"Bristol, City of",utla,2022-02-08,78.5,72.8,55.7
E06000023,"Bristol, City of",utla,2022-02-07,78.4,72.8,55.6
E06000023,"Bristol, City of",utla,2022-02-06,78.4,72.7,55.6
E06000023,"Bristol, City of",utla,2022-02-05,78.4,72.7,55.5
E06000023,"Bristol, City of",utla,2022-02-04,78.4,72.6,55.4
E06000023,"Bristol, City of",utla,2022-02-03,78.4,72.6,55.4
E06000023,"Bristol, City of",utla,2022-02-02,78.4,72.6,55.3
E06000023,"Bristol, City of",utla,2022-02-01,78.3,72.5,55.3
E06000023,"Bristol, City of",utla,2022-01-31,78.3,72.5,55.2
E06000023,"Bristol, City of",utla,2022-01-30,78.3,72.5,55.1
E06000023,"Bristol, City of",utla,2022-01-29,78.3,72.4,55.1
