areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
E10000003,Cambridgeshire,utla,2022-03-02,171340,,,550,0
E10000003,Cambridgeshire,utla,2022-03-01,170790,1008,,452,1
E10000003,Cambridgeshire,utla,2022-02-28,170338,1008,,946,0
E10000003,Cambridgeshire,utla,2022-02-27,169392,1008,,0,
E10000003,Cambridgeshire,utla,2022-02-26,169392,1008,,0,
E10000003,Cambridgeshire,utla,2022-02-25,169392,1008,,356,1
E10000003,Cambridgeshire,utla,2022-02-24,169036,1008,,435,0
E10000003,Cambridgeshire,utla,2022-02-23,168601,1008,,514,4
E10000003,Cambridgeshire,utla,2022-02-22,168087,1007,,536,3
E10000003,Cambridgeshire,utla,2022-02-21,167551,1006,,507,0
E10000003,Cambridgeshire,utla,2022-02-20,167044,1004,,428,0
E10000003,Cambridgeshire,utla,2022-02-19,166616,1004,,506,0
E10000003,Cambridgeshire,utla,2022-02-18,166110,1001,,612,1
E10000003,Cambridgeshire,utla,2022-02-17,165498,1001,,561,1
E10000003,Cambridgeshire,utla,2022-02-16,164937,1001,,680,3
E10000003,Cambridgeshire,utla,2022-02-15,164257,1000,,514,2
E10000003,Cambridgeshire,utla,2022-02-14,163743,1000,,521,1
E10000003,Cambridgeshire,utla,2022-02-13,163222,1000,,576,1
E10000003,Cambridgeshire,utla,2022-02-12,162646,998,,585,3
E10000003,Cambridgeshire,utla,2022-02-11,162061,996,,775,1
E10000003,Cambridgeshire,utla,2022-02-10,161286,994,,858,1
E10000003,Cambridgeshire,utla,2022-02-09,160428,993,,900,4
E10000003,Cambridgeshire,utla,2022-02-08,159528,991,,897,2
E10000003,Cambridgeshire,utla,2022-02-07,158631,991,,845,0
E10000003,Cambridgeshire,utla,2022-02-06,157786,985,,956,1
E10000003,Cambridgeshire,utla,2022-02-05,156830,985,,917,2
E10000003,Cambridgeshire,utla,2022-02-04,155913,984,,1224,1
E10000003,Cambridgeshire,utla,2022-02-03,154689,983,,1263,3
E10000003,Cambridgeshire,utla,2022-02-02,153426,980,,1231,2
E10000003,Cambridgeshire,utla,2022-02-01,152195,978,,1630,7
E10000003,Cambridgeshire,utla,2022-01-31,150565,977,,6670,0
E10000003,Cambridgeshire,utla,2022-01-30,143895,977,,1000,0
E10000003,Cambridgeshire,utla,2022-01-29,142895,975,,1251,1
E10000003,Cambridgeshire,utla,2022-01-28,141644,973,,1179,2
E10000003,Cambridgeshire,utla,2022-01-27,140465,973,,1320,4
E10000003,Cambridgeshire,utla,2022-01-26,139145,969,,1378,1
E10000003,Cambridgeshire,utla,2022-01-25,137767,968,,1389,3
E10000003,Cambridgeshire,utla,2022-01-24,136378,964,,1273,3
E10000003,Cambridgeshire,utla,2022-01-23,135105,962,,1090,2
E10000003,Cambridgeshire,utla,2022-01-22,134015,959,,1052,1
E10000003,Cambridgeshire,utla,2022-01-21,132963,957,,1467,2
