areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E10000003,Cambridgeshire,utla,2022-03-01,82.2,77.9,64.3
E10000003,Cambridgeshire,utla,2022-02-28,82.2,77.9,64.3
E10000003,Cambridgeshire,utla,2022-02-27,82.2,77.9,64.3
E10000003,Cambridgeshire,utla,2022-02-26,82.1,77.9,64.2
E10000003,Cambridgeshire,utla,2022-02-25,82.1,77.9,64.2
E10000003,Cambridgeshire,utla,2022-02-24,82.1,77.8,64.1
E10000003,Cambridgeshire,utla,2022-02-23,82.1,77.8,64.1
E10000003,Cambridgeshire,utla,2022-02-22,82.1,77.8,64.1
E10000003,Cambridgeshire,utla,2022-02-21,82.1,77.8,64.0
E10000003,Cambridgeshire,utla,2022-02-20,82.1,77.8,64.0
E10000003,Cambridgeshire,utla,2022-02-19,82.1,77.8,64.0
E10000003,Cambridgeshire,utla,2022-02-18,82.1,77.7,63.9
E10000003,Cambridgeshire,utla,2022-02-17,82.1,77.7,63.9
E10000003,Cambridgeshire,utla,2022-02-16,82.1,77.7,63.9
E10000003,Cambridgeshire,utla,2022-02-15,82.1,77.7,63.8
E10000003,Cambridgeshire,utla,2022-02-14,82.1,77.6,63.8
E10000003,Cambridgeshire,utla,2022-02-13,82.1,77.6,63.8
E10000003,Cambridgeshire,utla,2022-02-12,82.1,77.6,63.7
E10000003,Cambridgeshire,utla,2022-02-11,82.0,77.5,63.7
E10000003,Cambridgeshire,utla,2022-02-10,82.0,77.5,63.6
E10000003,Cambridgeshire,utla,2022-02-09,82.0,77.4,63.6
E10000003,Cambridgeshire,utla,2022-02-08,82.0,77.4,63.5
E10000003,Cambridgeshire,utla,2022-02-07,82.0,77.4,63.5
E10000003,Cambridgeshire,utla,2022-02-06,82.0,77.3,63.5
E10000003,Cambridgeshire,utla,2022-02-05,82.0,77.3,63.4
E10000003,Cambridgeshire,utla,2022-02-04,82.0,77.2,63.4
E10000003,Cambridgeshire,utla,2022-02-03,82.0,77.2,63.3
E10000003,Cambridgeshire,utla,2022-02-02,82.0,77.2,63.3
E10000003,Cambridgeshire,utla,2022-02-01,81.9,77.1,63.2
E10000003,Cambridgeshire,utla,2022-01-31,81.9,77.1,63.2
E10000003,Cambridgeshire,utla,2022-01-30,81.9,77.1,63.1
E10000003,Cambridgeshire,utla,2022-01-29,81.9,77.0,63.0
E10000003,Cambridgeshire,utla,2022-01-28,81.9,76.9,62.9
E10000003,Cambridgeshire,utla,2022-01-27,81.9,76.9,62.8
E10000003,Cambridgeshire,utla,2022-01-26,81.9,76.8,62.8
E10000003,Cambridgeshire,utla,2022-01-25,81.9,76.8,62.7
E10000003,Cambridgeshire,utla,2022-01-24,81.8,76.7,62.6
E10000003,Cambridgeshire,utla,2022-01-23,81.8,76.7,62.5
E10000003,Cambridgeshire,utla,2022-01-22,81.8,76.6,62.4
E10000003,Cambridgeshire,utla,2022-01-21,81.8,76.5,62.3
E10000003,Cambridgeshire,utla,2022-01-20,81.8,76.5,62.2
E10000003,Cambridgeshire,utla,2022-01-19,81.7,76.4,62.1
E10000003,Cambridgeshire,utla,2022-01-18,81.7,76.3,62.1
E10000003,Cambridgeshire,utla,2022-01-17,81.7,76.3,61.9
E10000003,Cambridgeshire,utla,2022-01-16,81.7,76.2,61.9
E10000003,Cambridgeshire,utla,2022-01-15,81.7,76.2,61.7
E10000003,Cambridgeshire,utla,2022-01-14,81.6,76.1,61.4
E10000003,Cambridgeshire,utla,2022-01-13,81.6,76.0,61.2
E10000003,Cambridgeshire,utla,2022-01-12,81.6,76.0,61.1
E10000003,Cambridgeshire,utla,2022-01-11,81.5,75.9,60.9
E10000003,Cambridgeshire,utla,2022-01-10,81.5,75.9,60.7
E10000003,Cambridgeshire,utla,2022-01-09,81.5,75.9,60.5
E10000003,Cambridgeshire,utla,2022-01-08,81.5,75.8,60.1
E10000003,Cambridgeshire,utla,2022-01-07,81.4,75.7,59.7
E10000003,Cambridgeshire,utla,2022-01-06,81.4,75.7,59.3
E10000003,Cambridgeshire,utla,2022-01-05,81.4,75.6,58.8
E10000003,Cambridgeshire,utla,2022-01-04,81.3,75.6,58.3
E10000003,Cambridgeshire,utla,2022-01-03,81.3,75.5,57.9
E10000003,Cambridgeshire,utla,2022-01-02,81.3,75.4,57.3
E10000003,Cambridgeshire,utla,2022-01-01,81.2,75.4,56.9
E10000003,Cambridgeshire,utla,2021-12-31,81.2,75.4,56.9
E10000003,Cambridgeshire,utla,2021-12-30,81.2,75.3,56.4
E10000003,Cambridgeshire,utla,2021-12-29,81.2,75.3,55.6
E10000003,Cambridgeshire,utla,2021-12-28,81.1,75.2,54.7
E10000003,Cambridgeshire,utla,2021-12-27,81.1,75.1,54.3
E10000003,Cambridgeshire,utla,2021-12-26,81.1,75.1,53.8
