areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
W06000015,Cardiff,utla,2022-03-02,95858,,,97,
W06000015,Cardiff,utla,2022-03-01,95761,,,306,
W06000015,Cardiff,utla,2022-02-28,95455,,,47,
W06000015,Cardiff,utla,2022-02-27,95408,,,0,
W06000015,Cardiff,utla,2022-02-26,95408,,,0,
W06000015,Cardiff,utla,2022-02-25,95408,,,87,
W06000015,Cardiff,utla,2022-02-24,95321,,,149,
W06000015,Cardiff,utla,2022-02-23,95172,,,184,
W06000015,Cardiff,utla,2022-02-22,94988,,,222,
W06000015,Cardiff,utla,2022-02-21,94766,,,186,
W06000015,Cardiff,utla,2022-02-20,94580,,,0,
W06000015,Cardiff,utla,2022-02-19,94580,,,0,
W06000015,Cardiff,utla,2022-02-18,94580,,,180,
W06000015,Cardiff,utla,2022-02-17,94400,,,176,
W06000015,Cardiff,utla,2022-02-16,94224,,,165,
W06000015,Cardiff,utla,2022-02-15,94059,,,141,
W06000015,Cardiff,utla,2022-02-14,93918,,,301,
W06000015,Cardiff,utla,2022-02-13,93617,,,235,
W06000015,Cardiff,utla,2022-02-12,93382,,,0,
W06000015,Cardiff,utla,2022-02-11,93382,,,230,
W06000015,Cardiff,utla,2022-02-10,93152,,,232,
W06000015,Cardiff,utla,2022-02-09,92920,,,192,
W06000015,Cardiff,utla,2022-02-08,92728,,,143,
W06000015,Cardiff,utla,2022-02-07,92585,,,427,
W06000015,Cardiff,utla,2022-02-06,92158,,,239,
W06000015,Cardiff,utla,2022-02-05,91919,,,0,
W06000015,Cardiff,utla,2022-02-04,91919,,,351,
W06000015,Cardiff,utla,2022-02-03,91568,,,321,
W06000015,Cardiff,utla,2022-02-02,91247,,,316,
W06000015,Cardiff,utla,2022-02-01,90931,,,193,
W06000015,Cardiff,utla,2022-01-31,90738,,,547,
W06000015,Cardiff,utla,2022-01-30,90191,,,398,
W06000015,Cardiff,utla,2022-01-29,89793,,,0,
W06000015,Cardiff,utla,2022-01-28,89793,,,334,
W06000015,Cardiff,utla,2022-01-27,89459,,,410,
W06000015,Cardiff,utla,2022-01-26,89049,,,412,
W06000015,Cardiff,utla,2022-01-25,88637,,,274,
W06000015,Cardiff,utla,2022-01-24,88363,,,588,
W06000015,Cardiff,utla,2022-01-23,87775,,,381,
W06000015,Cardiff,utla,2022-01-22,87394,,,0,
W06000015,Cardiff,utla,2022-01-21,87394,,,285,
W06000015,Cardiff,utla,2022-01-20,87109,,,322,
W06000015,Cardiff,utla,2022-01-19,86787,,,308,
W06000015,Cardiff,utla,2022-01-18,86479,,,266,
W06000015,Cardiff,utla,2022-01-17,86213,,,501,
W06000015,Cardiff,utla,2022-01-16,85712,,,270,
W06000015,Cardiff,utla,2022-01-15,85442,,,0,
W06000015,Cardiff,utla,2022-01-14,85442,,,362,
W06000015,Cardiff,utla,2022-01-13,85080,,,302,
W06000015,Cardiff,utla,2022-01-12,84778,,,419,
W06000015,Cardiff,utla,2022-01-11,84359,,,189,
W06000015,Cardiff,utla,2022-01-10,84170,,,1191,
W06000015,Cardiff,utla,2022-01-09,82979,,,839,
W06000015,Cardiff,utla,2022-01-08,82140,,,0,
W06000015,Cardiff,utla,2022-01-07,82140,,,846,
W06000015,Cardiff,utla,2022-01-06,81294,,,986,
W06000015,Cardiff,utla,2022-01-05,80308,,,1374,
W06000015,Cardiff,utla,2022-01-04,78934,,,2636,
W06000015,Cardiff,utla,2022-01-03,76298,,,0,
W06000015,Cardiff,utla,2022-01-02,76298,,,1461,
W06000015,Cardiff,utla,2022-01-01,74837,,,0,
W06000015,Cardiff,utla,2021-12-31,74837,,,827,
W06000015,Cardiff,utla,2021-12-30,74010,,,2079,
W06000015,Cardiff,utla,2021-12-29,71931,,,883,
W06000015,Cardiff,utla,2021-12-28,71048,,,1595,
W06000015,Cardiff,utla,2021-12-27,69453,,,0,
W06000015,Cardiff,utla,2021-12-26,69453,,,761,
W06000015,Cardiff,utla,2021-12-25,68692,,,0,
W06000015,Cardiff,utla,2021-12-24,68692,,,828,
W06000015,Cardiff,utla,2021-12-23,67864,,,469,
W06000015,Cardiff,utla,2021-12-22,67395,,,714,
W06000015,Cardiff,utla,2021-12-21,66681,,,483,
W06000015,Cardiff,utla,2021-12-20,66198,,,1088,
W06000015,Cardiff,utla,2021-12-19,65110,,,511,
W06000015,Cardiff,utla,2021-12-18,64599,,,0,
W06000015,Cardiff,utla,2021-12-17,64599,,,408,
W06000015,Cardiff,utla,2021-12-16,64191,,,398,
W06000015,Cardiff,utla,2021-12-15,63793,,,256,
W06000015,Cardiff,utla,2021-12-14,63537,,,164,
W06000015,Cardiff,utla,2021-12-13,63373,,,535,
W06000015,Cardiff,utla,2021-12-12,62838,,,304,
W06000015,Cardiff,utla,2021-12-11,62534,,,0,
W06000015,Cardiff,utla,2021-12-10,62534,,,180,
W06000015,Cardiff,utla,2021-12-09,62354,,,258,
W06000015,Cardiff,utla,2021-12-08,62096,,,235,
W06000015,Cardiff,utla,2021-12-07,61861,,,278,
W06000015,Cardiff,utla,2021-12-06,61583,,,344,
W06000015,Cardiff,utla,2021-12-05,61239,,,340,
W06000015,Cardiff,utla,2021-12-04,60899,,,0,
W06000015,Cardiff,utla,2021-12-03,60899,,,250,
W06000015,Cardiff,utla,2021-12-02,60649,,,292,
W06000015,Cardiff,utla,2021-12-01,60357,,,205,
W06000015,Cardiff,utla,2021-11-30,60152,,,237,
W06000015,Cardiff,utla,2021-11-29,59915,,,531,
W06000015,Cardiff,utla,2021-11-28,59384,,,213,
W06000015,Cardiff,utla,2021-11-27,59171,,,0,
W06000015,Cardiff,utla,2021-11-26,59171,,,322,
W06000015,Cardiff,utla,2021-11-25,58849,,,245,
W06000015,Cardiff,utla,2021-11-24,58604,,,252,
W06000015,Cardiff,utla,2021-11-23,58352,,,240,
W06000015,Cardiff,utla,2021-11-22,58112,,,550,
W06000015,Cardiff,utla,2021-11-21,57562,,,256,
W06000015,Cardiff,utla,2021-11-20,57306,,,0,
W06000015,Cardiff,utla,2021-11-19,57306,,,246,
W06000015,Cardiff,utla,2021-11-18,57060,,,275,
W06000015,Cardiff,utla,2021-11-17,56785,,,311,
W06000015,Cardiff,utla,2021-11-16,56474,,,192,
W06000015,Cardiff,utla,2021-11-15,56282,,,498,
W06000015,Cardiff,utla,2021-11-14,55784,,,354,
W06000015,Cardiff,utla,2021-11-13,55430,,,0,
W06000015,Cardiff,utla,2021-11-12,55430,,,399,
W06000015,Cardiff,utla,2021-11-11,55031,,,266,
W06000015,Cardiff,utla,2021-11-10,54765,,,332,
W06000015,Cardiff,utla,2021-11-09,54433,,,261,
W06000015,Cardiff,utla,2021-11-08,54172,,,437,
W06000015,Cardiff,utla,2021-11-07,53735,,,398,
W06000015,Cardiff,utla,2021-11-06,53337,,,0,
W06000015,Cardiff,utla,2021-11-05,53337,,,210,
W06000015,Cardiff,utla,2021-11-04,53127,,,336,
W06000015,Cardiff,utla,2021-11-03,52791,,,349,
W06000015,Cardiff,utla,2021-11-02,52442,,,348,
W06000015,Cardiff,utla,2021-11-01,52094,,,567,
W06000015,Cardiff,utla,2021-10-31,51527,,,355,
W06000015,Cardiff,utla,2021-10-30,51172,,,0,
W06000015,Cardiff,utla,2021-10-29,51172,,,340,
W06000015,Cardiff,utla,2021-10-28,50832,,,332,
W06000015,Cardiff,utla,2021-10-27,50500,,,406,
W06000015,Cardiff,utla,2021-10-26,50094,,,944,
W06000015,Cardiff,utla,2021-10-25,49150,,,0,
W06000015,Cardiff,utla,2021-10-24,49150,,,441,
W06000015,Cardiff,utla,2021-10-23,48709,,,0,
W06000015,Cardiff,utla,2021-10-22,48709,,,260,
W06000015,Cardiff,utla,2021-10-21,48449,,,596,
W06000015,Cardiff,utla,2021-10-20,47853,,,518,
W06000015,Cardiff,utla,2021-10-19,47335,,,320,
W06000015,Cardiff,utla,2021-10-18,47015,,,815,
W06000015,Cardiff,utla,2021-10-17,46200,,,432,
W06000015,Cardiff,utla,2021-10-16,45768,,,0,
W06000015,Cardiff,utla,2021-10-15,45768,,,376,
W06000015,Cardiff,utla,2021-10-14,45392,,,464,
W06000015,Cardiff,utla,2021-10-13,44928,,,393,
W06000015,Cardiff,utla,2021-10-12,44535,,,373,
W06000015,Cardiff,utla,2021-10-11,44162,,,753,
W06000015,Cardiff,utla,2021-10-10,43409,,,0,
W06000015,Cardiff,utla,2021-10-09,43409,,,799,
W06000015,Cardiff,utla,2021-10-08,42610,,,0,
W06000015,Cardiff,utla,2021-10-07,42610,,,446,
W06000015,Cardiff,utla,2021-10-06,42164,,,321,
W06000015,Cardiff,utla,2021-10-05,41843,,,250,
W06000015,Cardiff,utla,2021-10-04,41593,,,460,
W06000015,Cardiff,utla,2021-10-03,41133,,,339,
W06000015,Cardiff,utla,2021-10-02,40794,,,0,
W06000015,Cardiff,utla,2021-10-01,40794,,,388,
W06000015,Cardiff,utla,2021-09-30,40406,,,409,
W06000015,Cardiff,utla,2021-09-29,39997,,,333,
W06000015,Cardiff,utla,2021-09-28,39664,,,204,
W06000015,Cardiff,utla,2021-09-27,39460,,,596,
W06000015,Cardiff,utla,2021-09-26,38864,,,322,
W06000015,Cardiff,utla,2021-09-25,38542,,,0,
W06000015,Cardiff,utla,2021-09-24,38542,,,299,
W06000015,Cardiff,utla,2021-09-23,38243,,,177,
W06000015,Cardiff,utla,2021-09-22,38066,,,319,
W06000015,Cardiff,utla,2021-09-21,37747,,,236,
W06000015,Cardiff,utla,2021-09-20,37511,,,458,
W06000015,Cardiff,utla,2021-09-19,37053,,,226,
W06000015,Cardiff,utla,2021-09-18,36827,,,0,
W06000015,Cardiff,utla,2021-09-17,36827,,,263,
