areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
S12000036,City of Edinburgh,utla,2022-03-02,138777,,,703,0
S12000036,City of Edinburgh,utla,2022-03-01,138074,814,,5994,14
S12000036,City of Edinburgh,utla,2022-02-28,132080,814,,1435,2
S12000036,City of Edinburgh,utla,2022-02-27,130645,814,,0,
S12000036,City of Edinburgh,utla,2022-02-26,130645,814,,0,
S12000036,City of Edinburgh,utla,2022-02-25,130645,814,,460,0
S12000036,City of Edinburgh,utla,2022-02-24,130185,814,,651,0
S12000036,City of Edinburgh,utla,2022-02-23,129534,814,,642,2
S12000036,City of Edinburgh,utla,2022-02-22,128892,814,,576,0
S12000036,City of Edinburgh,utla,2022-02-21,128316,812,,1571,0
S12000036,City of Edinburgh,utla,2022-02-20,126745,811,,0,0
S12000036,City of Edinburgh,utla,2022-02-19,126745,810,,0,0
S12000036,City of Edinburgh,utla,2022-02-18,126745,809,,673,0
S12000036,City of Edinburgh,utla,2022-02-17,126072,809,,658,2
S12000036,City of Edinburgh,utla,2022-02-16,125414,807,,716,2
S12000036,City of Edinburgh,utla,2022-02-15,124698,807,,584,0
S12000036,City of Edinburgh,utla,2022-02-14,124114,807,,1803,4
S12000036,City of Edinburgh,utla,2022-02-13,122311,807,,0,0
S12000036,City of Edinburgh,utla,2022-02-12,122311,807,,0,0
S12000036,City of Edinburgh,utla,2022-02-11,122311,806,,854,0
S12000036,City of Edinburgh,utla,2022-02-10,121457,806,,10859,2
S12000036,City of Edinburgh,utla,2022-02-09,110598,805,,451,0
S12000036,City of Edinburgh,utla,2022-02-08,110147,805,,327,1
S12000036,City of Edinburgh,utla,2022-02-07,109820,804,,1142,3
S12000036,City of Edinburgh,utla,2022-02-06,108678,804,,0,0
S12000036,City of Edinburgh,utla,2022-02-05,108678,803,,0,0
S12000036,City of Edinburgh,utla,2022-02-04,108678,802,,546,2
S12000036,City of Edinburgh,utla,2022-02-03,108132,802,,1183,2
S12000036,City of Edinburgh,utla,2022-02-02,106949,801,,0,0
S12000036,City of Edinburgh,utla,2022-02-01,106949,801,,333,3
S12000036,City of Edinburgh,utla,2022-01-31,106616,799,,996,0
S12000036,City of Edinburgh,utla,2022-01-30,105620,797,,0,0
S12000036,City of Edinburgh,utla,2022-01-29,105620,797,,0,0
S12000036,City of Edinburgh,utla,2022-01-28,105620,795,,468,1
S12000036,City of Edinburgh,utla,2022-01-27,105152,792,,448,2
S12000036,City of Edinburgh,utla,2022-01-26,104704,791,,509,2
S12000036,City of Edinburgh,utla,2022-01-25,104195,789,,373,0
S12000036,City of Edinburgh,utla,2022-01-24,103822,789,,1003,0
S12000036,City of Edinburgh,utla,2022-01-23,102819,788,,0,0
S12000036,City of Edinburgh,utla,2022-01-22,102819,786,,0,0
S12000036,City of Edinburgh,utla,2022-01-21,102819,786,,446,1
S12000036,City of Edinburgh,utla,2022-01-20,102373,785,,439,0
S12000036,City of Edinburgh,utla,2022-01-19,101934,784,,520,1
S12000036,City of Edinburgh,utla,2022-01-18,101414,783,,360,2
S12000036,City of Edinburgh,utla,2022-01-17,101054,782,,1141,0
S12000036,City of Edinburgh,utla,2022-01-16,99913,779,,0,0
S12000036,City of Edinburgh,utla,2022-01-15,99913,778,,0,0
S12000036,City of Edinburgh,utla,2022-01-14,99913,778,,663,5
S12000036,City of Edinburgh,utla,2022-01-13,99250,777,,516,0
S12000036,City of Edinburgh,utla,2022-01-12,98734,776,,785,5
S12000036,City of Edinburgh,utla,2022-01-11,97949,775,,951,2
S12000036,City of Edinburgh,utla,2022-01-10,96998,775,,2734,3
S12000036,City of Edinburgh,utla,2022-01-09,94264,775,,0,0
S12000036,City of Edinburgh,utla,2022-01-08,94264,774,,0,0
S12000036,City of Edinburgh,utla,2022-01-07,94264,773,,1297,2
S12000036,City of Edinburgh,utla,2022-01-06,92967,771,,1127,4
S12000036,City of Edinburgh,utla,2022-01-05,91840,767,,6855,2
S12000036,City of Edinburgh,utla,2022-01-04,84985,765,,0,0
S12000036,City of Edinburgh,utla,2022-01-03,84985,765,,0,0
S12000036,City of Edinburgh,utla,2022-01-02,84985,764,,0,0
S12000036,City of Edinburgh,utla,2022-01-01,84985,764,,0,0
S12000036,City of Edinburgh,utla,2021-12-31,84985,763,,1310,2
S12000036,City of Edinburgh,utla,2021-12-30,83675,761,,1285,0
S12000036,City of Edinburgh,utla,2021-12-29,82390,761,,6105,1
S12000036,City of Edinburgh,utla,2021-12-28,76285,760,,0,0
S12000036,City of Edinburgh,utla,2021-12-27,76285,757,,0,0
S12000036,City of Edinburgh,utla,2021-12-26,76285,755,,0,0
S12000036,City of Edinburgh,utla,2021-12-25,76285,755,,0,0
S12000036,City of Edinburgh,utla,2021-12-24,76285,753,,816,3
S12000036,City of Edinburgh,utla,2021-12-23,75469,752,,1161,0
S12000036,City of Edinburgh,utla,2021-12-22,74308,751,,418,2
S12000036,City of Edinburgh,utla,2021-12-21,73890,750,,643,2
S12000036,City of Edinburgh,utla,2021-12-20,73247,748,,2586,2
S12000036,City of Edinburgh,utla,2021-12-19,70661,747,,0,0
S12000036,City of Edinburgh,utla,2021-12-18,70661,744,,0,0
S12000036,City of Edinburgh,utla,2021-12-17,70661,744,,529,1
S12000036,City of Edinburgh,utla,2021-12-16,70132,743,,668,2
S12000036,City of Edinburgh,utla,2021-12-15,69464,741,,650,1
