areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
S12000036,City of Edinburgh,utla,2022-03-01,88.2,82.5,68.1
S12000036,City of Edinburgh,utla,2022-02-28,88.2,82.5,68.0
S12000036,City of Edinburgh,utla,2022-02-27,88.2,82.5,67.8
S12000036,City of Edinburgh,utla,2022-02-26,88.2,82.4,67.8
S12000036,City of Edinburgh,utla,2022-02-25,88.2,82.4,67.7
S12000036,City of Edinburgh,utla,2022-02-24,88.2,82.4,67.7
S12000036,City of Edinburgh,utla,2022-02-23,88.2,82.4,67.6
S12000036,City of Edinburgh,utla,2022-02-22,88.2,82.4,67.5
S12000036,City of Edinburgh,utla,2022-02-21,88.1,82.4,67.4
S12000036,City of Edinburgh,utla,2022-02-20,88.1,82.4,67.4
S12000036,City of Edinburgh,utla,2022-02-19,88.1,82.3,67.2
S12000036,City of Edinburgh,utla,2022-02-18,88.1,82.3,67.1
S12000036,City of Edinburgh,utla,2022-02-17,88.1,82.3,67.0
S12000036,City of Edinburgh,utla,2022-02-16,88.1,82.3,66.8
S12000036,City of Edinburgh,utla,2022-02-15,88.1,82.2,66.7
S12000036,City of Edinburgh,utla,2022-02-14,88.1,82.2,66.5
S12000036,City of Edinburgh,utla,2022-02-13,88.1,82.2,66.4
S12000036,City of Edinburgh,utla,2022-02-12,88.1,82.2,66.3
S12000036,City of Edinburgh,utla,2022-02-11,88.1,82.1,66.3
S12000036,City of Edinburgh,utla,2022-02-10,88.1,82.1,66.2
S12000036,City of Edinburgh,utla,2022-02-09,88.1,82.1,66.1
S12000036,City of Edinburgh,utla,2022-02-08,88.1,82.1,66.0
S12000036,City of Edinburgh,utla,2022-02-07,88.0,82.0,65.9
S12000036,City of Edinburgh,utla,2022-02-06,88.0,82.0,65.8
S12000036,City of Edinburgh,utla,2022-02-05,88.0,82.0,65.7
S12000036,City of Edinburgh,utla,2022-02-04,88.0,82.0,65.7
S12000036,City of Edinburgh,utla,2022-02-03,88.0,81.9,65.5
S12000036,City of Edinburgh,utla,2022-02-02,88.0,81.9,65.4
S12000036,City of Edinburgh,utla,2022-02-01,88.0,81.9,65.3
S12000036,City of Edinburgh,utla,2022-01-31,88.0,81.9,65.2
S12000036,City of Edinburgh,utla,2022-01-30,88.0,81.8,65.1
S12000036,City of Edinburgh,utla,2022-01-29,88.0,81.8,64.9
S12000036,City of Edinburgh,utla,2022-01-28,88.0,81.7,64.7
S12000036,City of Edinburgh,utla,2022-01-27,87.9,81.7,64.6
S12000036,City of Edinburgh,utla,2022-01-26,87.9,81.7,64.4
S12000036,City of Edinburgh,utla,2022-01-25,87.9,81.6,64.3
S12000036,City of Edinburgh,utla,2022-01-24,87.9,81.6,64.1
S12000036,City of Edinburgh,utla,2022-01-23,87.9,81.6,64.0
S12000036,City of Edinburgh,utla,2022-01-22,87.9,81.5,63.8
S12000036,City of Edinburgh,utla,2022-01-21,87.9,81.4,63.5
S12000036,City of Edinburgh,utla,2022-01-20,87.9,81.4,63.3
S12000036,City of Edinburgh,utla,2022-01-19,87.9,81.4,63.1
S12000036,City of Edinburgh,utla,2022-01-18,87.9,81.3,62.9
S12000036,City of Edinburgh,utla,2022-01-17,87.8,81.3,62.7
S12000036,City of Edinburgh,utla,2022-01-16,87.8,81.3,62.5
S12000036,City of Edinburgh,utla,2022-01-15,87.8,81.2,62.1
S12000036,City of Edinburgh,utla,2022-01-14,87.8,81.1,61.5
S12000036,City of Edinburgh,utla,2022-01-13,87.8,81.1,61.2
S12000036,City of Edinburgh,utla,2022-01-12,87.8,81.0,60.9
S12000036,City of Edinburgh,utla,2022-01-11,87.7,81.0,60.6
S12000036,City of Edinburgh,utla,2022-01-10,87.7,80.9,60.2
S12000036,City of Edinburgh,utla,2022-01-09,87.7,80.9,59.8
S12000036,City of Edinburgh,utla,2022-01-08,87.7,80.8,59.3
S12000036,City of Edinburgh,utla,2022-01-07,87.7,80.8,58.5
S12000036,City of Edinburgh,utla,2022-01-06,87.7,80.7,58.0
S12000036,City of Edinburgh,utla,2022-01-05,87.6,80.6,57.5
S12000036,City of Edinburgh,utla,2022-01-04,87.6,80.5,56.9
S12000036,City of Edinburgh,utla,2022-01-03,87.6,80.4,56.5
S12000036,City of Edinburgh,utla,2022-01-02,87.6,80.2,55.8
S12000036,City of Edinburgh,utla,2022-01-01,87.6,80.2,55.8
S12000036,City of Edinburgh,utla,2021-12-31,87.6,80.2,55.8
S12000036,City of Edinburgh,utla,2021-12-30,87.5,80.2,55.3
S12000036,City of Edinburgh,utla,2021-12-29,87.5,80.1,54.3
S12000036,City of Edinburgh,utla,2021-12-28,87.5,80.0,53.2
S12000036,City of Edinburgh,utla,2021-12-27,87.5,80.0,52.3
S12000036,City of Edinburgh,utla,2021-12-26,87.5,79.9,51.3
S12000036,City of Edinburgh,utla,2021-12-25,87.5,79.9,51.3
S12000036,City of Edinburgh,utla,2021-12-24,87.5,79.9,51.3
