areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2022-03-02,16117745,140698,8402,32077,42
E92000001,England,nation,2022-03-01,16085841,140656,8486,26711,158
E92000001,England,nation,2022-02-28,16059214,140498,8538,60595,106
E92000001,England,nation,2022-02-27,15998983,140392,8305,0,0
E92000001,England,nation,2022-02-26,15998983,140392,8197,0,0
E92000001,England,nation,2022-02-25,15998983,140392,8498,23526,97
E92000001,England,nation,2022-02-24,15975718,140295,8645,28193,99
E92000001,England,nation,2022-02-23,15947871,140196,8868,29703,140
E92000001,England,nation,2022-02-22,15918472,140056,8948,30080,170
E92000001,England,nation,2022-02-21,15888557,139886,9229,29753,10
E92000001,England,nation,2022-02-20,15859074,139876,9058,23831,69
E92000001,England,nation,2022-02-19,15835403,139807,9187,32230,123
E92000001,England,nation,2022-02-18,15803539,139684,9258,36900,130
E92000001,England,nation,2022-02-17,15767071,139554,9600,40376,156
E92000001,England,nation,2022-02-16,15727107,139398,9804,42756,170
E92000001,England,nation,2022-02-15,15684719,139228,10019,36471,214
E92000001,England,nation,2022-02-14,15648433,139014,10273,31943,23
E92000001,England,nation,2022-02-13,15616753,138991,10049,32316,50
E92000001,England,nation,2022-02-12,15584863,138941,10010,37791,147
E92000001,England,nation,2022-02-11,15547597,138794,10367,46736,160
E92000001,England,nation,2022-02-10,15501331,138634,10734,53993,170
E92000001,England,nation,2022-02-09,15447906,138464,11071,59193,242
E92000001,England,nation,2022-02-08,15389601,138222,11471,58453,294
E92000001,England,nation,2022-02-07,15331148,137928,11710,48601,34
E92000001,England,nation,2022-02-06,15282993,137894,11529,49533,61
E92000001,England,nation,2022-02-05,15234229,137833,11604,57377,232
E92000001,England,nation,2022-02-04,15177316,137601,12032,73185,228
E92000001,England,nation,2022-02-03,15106124,137373,12423,77189,258
E92000001,England,nation,2022-02-02,15028951,137115,12577,81446,519
E92000001,England,nation,2022-02-01,14948735,136596,12896,103353,185
