areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByDeathDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
S12000049,Glasgow City,utla,2022-03-02,190559,,,839,4
S12000049,Glasgow City,utla,2022-03-01,189720,1600,,10974,11
S12000049,Glasgow City,utla,2022-02-28,178746,1600,,1653,4
S12000049,Glasgow City,utla,2022-02-27,177093,1599,,0,
S12000049,Glasgow City,utla,2022-02-26,177093,1599,,0,
S12000049,Glasgow City,utla,2022-02-25,177093,1599,,563,2
S12000049,Glasgow City,utla,2022-02-24,176530,1599,,764,2
S12000049,Glasgow City,utla,2022-02-23,175766,1597,,671,2
S12000049,Glasgow City,utla,2022-02-22,175095,1593,,638,2
S12000049,Glasgow City,utla,2022-02-21,174457,1591,,1670,2
S12000049,Glasgow City,utla,2022-02-20,172787,1589,,0,0
S12000049,Glasgow City,utla,2022-02-19,172787,1587,,0,0
S12000049,Glasgow City,utla,2022-02-18,172787,1586,,713,0
S12000049,Glasgow City,utla,2022-02-17,172074,1585,,769,6
S12000049,Glasgow City,utla,2022-02-16,171305,1582,,819,0
S12000049,Glasgow City,utla,2022-02-15,170486,1580,,584,2
S12000049,Glasgow City,utla,2022-02-14,169902,1579,,1621,2
S12000049,Glasgow City,utla,2022-02-13,168281,1577,,0,0
S12000049,Glasgow City,utla,2022-02-12,168281,1576,,0,0
S12000049,Glasgow City,utla,2022-02-11,168281,1575,,803,1
S12000049,Glasgow City,utla,2022-02-10,167478,1575,,8747,7
S12000049,Glasgow City,utla,2022-02-09,158731,1573,,369,4
S12000049,Glasgow City,utla,2022-02-08,158362,1571,,284,4
S12000049,Glasgow City,utla,2022-02-07,158078,1569,,892,6
S12000049,Glasgow City,utla,2022-02-06,157186,1568,,0,0
S12000049,Glasgow City,utla,2022-02-05,157186,1564,,0,0
S12000049,Glasgow City,utla,2022-02-04,157186,1562,,474,5
S12000049,Glasgow City,utla,2022-02-03,156712,1561,,747,6
S12000049,Glasgow City,utla,2022-02-02,155965,1560,,0,0
S12000049,Glasgow City,utla,2022-02-01,155965,1558,,289,3
S12000049,Glasgow City,utla,2022-01-31,155676,1555,,883,3
S12000049,Glasgow City,utla,2022-01-30,154793,1551,,0,0
S12000049,Glasgow City,utla,2022-01-29,154793,1546,,0,0
S12000049,Glasgow City,utla,2022-01-28,154793,1544,,399,4
S12000049,Glasgow City,utla,2022-01-27,154394,1543,,438,2
S12000049,Glasgow City,utla,2022-01-26,153956,1538,,446,5
S12000049,Glasgow City,utla,2022-01-25,153510,1537,,322,5
S12000049,Glasgow City,utla,2022-01-24,153188,1533,,1097,6
S12000049,Glasgow City,utla,2022-01-23,152091,1530,,0,0
S12000049,Glasgow City,utla,2022-01-22,152091,1528,,0,0
S12000049,Glasgow City,utla,2022-01-21,152091,1526,,438,0
S12000049,Glasgow City,utla,2022-01-20,151653,1522,,524,3
S12000049,Glasgow City,utla,2022-01-19,151129,1518,,518,1
S12000049,Glasgow City,utla,2022-01-18,150611,1514,,375,3
S12000049,Glasgow City,utla,2022-01-17,150236,1512,,1468,2
S12000049,Glasgow City,utla,2022-01-16,148768,1509,,0,0
S12000049,Glasgow City,utla,2022-01-15,148768,1506,,0,0
S12000049,Glasgow City,utla,2022-01-14,148768,1504,,804,3
S12000049,Glasgow City,utla,2022-01-13,147964,1502,,686,2
S12000049,Glasgow City,utla,2022-01-12,147278,1499,,1020,1
S12000049,Glasgow City,utla,2022-01-11,146258,1499,,1157,4
S12000049,Glasgow City,utla,2022-01-10,145101,1497,,3965,3
S12000049,Glasgow City,utla,2022-01-09,141136,1496,,0,0
S12000049,Glasgow City,utla,2022-01-08,141136,1495,,0,0
S12000049,Glasgow City,utla,2022-01-07,141136,1493,,1835,2
S12000049,Glasgow City,utla,2022-01-06,139301,1493,,1319,0
