areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
S12000049,Glasgow City,utla,2022-03-01,86.0,79.4,61.6
S12000049,Glasgow City,utla,2022-02-28,86.0,79.4,61.5
S12000049,Glasgow City,utla,2022-02-27,86.0,79.4,61.4
S12000049,Glasgow City,utla,2022-02-26,86.0,79.4,61.3
S12000049,Glasgow City,utla,2022-02-25,86.0,79.4,61.2
S12000049,Glasgow City,utla,2022-02-24,86.0,79.3,61.1
S12000049,Glasgow City,utla,2022-02-23,86.0,79.3,61.1
S12000049,Glasgow City,utla,2022-02-22,86.0,79.3,61.0
S12000049,Glasgow City,utla,2022-02-21,85.9,79.3,60.8
S12000049,Glasgow City,utla,2022-02-20,85.9,79.3,60.5
S12000049,Glasgow City,utla,2022-02-19,85.9,79.3,60.3
S12000049,Glasgow City,utla,2022-02-18,85.9,79.3,60.0
S12000049,Glasgow City,utla,2022-02-17,85.9,79.2,59.9
S12000049,Glasgow City,utla,2022-02-16,85.9,79.2,59.8
S12000049,Glasgow City,utla,2022-02-15,85.9,79.2,59.6
S12000049,Glasgow City,utla,2022-02-14,85.9,79.2,59.4
S12000049,Glasgow City,utla,2022-02-13,85.9,79.2,59.1
S12000049,Glasgow City,utla,2022-02-12,85.9,79.1,58.9
S12000049,Glasgow City,utla,2022-02-11,85.8,79.1,58.7
S12000049,Glasgow City,utla,2022-02-10,85.8,79.1,58.6
S12000049,Glasgow City,utla,2022-02-09,85.8,79.1,58.5
S12000049,Glasgow City,utla,2022-02-08,85.8,79.0,58.4
S12000049,Glasgow City,utla,2022-02-07,85.8,79.0,58.4
S12000049,Glasgow City,utla,2022-02-06,85.8,79.0,58.2
S12000049,Glasgow City,utla,2022-02-05,85.7,79.0,58.2
S12000049,Glasgow City,utla,2022-02-04,85.7,78.9,58.1
S12000049,Glasgow City,utla,2022-02-03,85.7,78.9,58.0
S12000049,Glasgow City,utla,2022-02-02,85.7,78.9,57.9
S12000049,Glasgow City,utla,2022-02-01,85.6,78.8,57.7
S12000049,Glasgow City,utla,2022-01-31,85.6,78.8,57.7
S12000049,Glasgow City,utla,2022-01-30,85.6,78.8,57.6
S12000049,Glasgow City,utla,2022-01-29,85.6,78.7,57.5
S12000049,Glasgow City,utla,2022-01-28,85.6,78.7,57.3
S12000049,Glasgow City,utla,2022-01-27,85.6,78.6,57.1
S12000049,Glasgow City,utla,2022-01-26,85.5,78.5,57.0
S12000049,Glasgow City,utla,2022-01-25,85.5,78.5,56.8
S12000049,Glasgow City,utla,2022-01-24,85.5,78.4,56.6
