areaCode,areaName,areaType,date,cumCasesByPublishDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
N92000002,Northern Ireland,nation,2022-03-02,628427,,2407,4
N92000002,Northern Ireland,nation,2022-03-01,626020,477,2567,5
N92000002,Northern Ireland,nation,2022-02-28,623453,502,5168,12
N92000002,Northern Ireland,nation,2022-02-27,618285,537,0,0
N92000002,Northern Ireland,nation,2022-02-26,618285,543,0,0
N92000002,Northern Ireland,nation,2022-02-25,618285,538,2068,2
N92000002,Northern Ireland,nation,2022-02-24,616217,579,2486,2
N92000002,Northern Ireland,nation,2022-02-23,613731,604,2294,4
N92000002,Northern Ireland,nation,2022-02-22,611437,618,2951,5
N92000002,Northern Ireland,nation,2022-02-21,608485,654,2235,4
N92000002,Northern Ireland,nation,2022-02-20,606250,662,1865,5
N92000002,Northern Ireland,nation,2022-02-19,604385,636,2147,5
N92000002,Northern Ireland,nation,2022-02-18,602238,622,2469,4
N92000002,Northern Ireland,nation,2022-02-17,599769,637,3027,1
N92000002,Northern Ireland,nation,2022-02-16,596742,639,2889,5
N92000002,Northern Ireland,nation,2022-02-15,593853,638,2987,4
N92000002,Northern Ireland,nation,2022-02-14,590866,633,2465,2
N92000002,Northern Ireland,nation,2022-02-13,588401,640,2158,1
N92000002,Northern Ireland,nation,2022-02-12,586243,626,2633,4
N92000002,Northern Ireland,nation,2022-02-11,583610,604,2923,4
N92000002,Northern Ireland,nation,2022-02-10,580687,617,3609,7
N92000002,Northern Ireland,nation,2022-02-09,577078,614,3837,2
N92000002,Northern Ireland,nation,2022-02-08,573241,613,3959,6
N92000002,Northern Ireland,nation,2022-02-07,569282,620,3105,2
N92000002,Northern Ireland,nation,2022-02-06,566177,619,2694,1
N92000002,Northern Ireland,nation,2022-02-05,563483,601,3201,3
N92000002,Northern Ireland,nation,2022-02-04,560282,581,3833,1
N92000002,Northern Ireland,nation,2022-02-03,556449,587,4203,3
N92000002,Northern Ireland,nation,2022-02-02,552246,589,4769,5
N92000002,Northern Ireland,nation,2022-02-01,547477,565,4622,4
N92000002,Northern Ireland,nation,2022-01-31,542855,561,4159,3
N92000002,Northern Ireland,nation,2022-01-30,534119,557,3069,6
N92000002,Northern Ireland,nation,2022-01-29,531050,541,3590,3
N92000002,Northern Ireland,nation,2022-01-28,527460,543,3737,8
N92000002,Northern Ireland,nation,2022-01-27,523722,569,4243,6
N92000002,Northern Ireland,nation,2022-01-26,519479,574,4383,9
N92000002,Northern Ireland,nation,2022-01-25,515096,577,5023,5
N92000002,Northern Ireland,nation,2022-01-24,510073,569,3932,1
N92000002,Northern Ireland,nation,2022-01-23,506141,580,3059,5
N92000002,Northern Ireland,nation,2022-01-22,503082,572,3476,5
N92000002,Northern Ireland,nation,2022-01-21,499606,563,3568,6
N92000002,Northern Ireland,nation,2022-01-20,496038,573,3879,2
N92000002,Northern Ireland,nation,2022-01-19,492159,586,4451,6
N92000002,Northern Ireland,nation,2022-01-18,487708,589,4081,6
N92000002,Northern Ireland,nation,2022-01-17,483627,596,3295,4
N92000002,Northern Ireland,nation,2022-01-16,480332,603,2518,3
N92000002,Northern Ireland,nation,2022-01-15,477814,594,2668,0
N92000002,Northern Ireland,nation,2022-01-14,475146,583,2954,4
N92000002,Northern Ireland,nation,2022-01-13,472192,600,2980,14
N92000002,Northern Ireland,nation,2022-01-12,469212,619,2922,2
N92000002,Northern Ireland,nation,2022-01-11,466290,625,3420,1
N92000002,Northern Ireland,nation,2022-01-10,462870,631,2706,6
N92000002,Northern Ireland,nation,2022-01-09,460164,636,3760,2
N92000002,Northern Ireland,nation,2022-01-08,456404,620,3458,5
N92000002,Northern Ireland,nation,2022-01-07,452946,611,6444,0
N92000002,Northern Ireland,nation,2022-01-06,446502,619,6877,4
N92000002,Northern Ireland,nation,2022-01-05,439625,608,7133,3
N92000002,Northern Ireland,nation,2022-01-04,432492,597,30423,15
N92000002,Northern Ireland,nation,2022-01-03,402069,603,0,0
N92000002,Northern Ireland,nation,2022-01-02,402069,577,0,0
N92000002,Northern Ireland,nation,2022-01-01,402069,562,0,0
N92000002,Northern Ireland,nation,2021-12-31,402069,536,7215,1
N92000002,Northern Ireland,nation,2021-12-30,394854,516,4701,3
N92000002,Northern Ireland,nation,2021-12-29,390153,499,22972,14
N92000002,Northern Ireland,nation,2021-12-28,367181,486,0,0
N92000002,Northern Ireland,nation,2021-12-27,367181,470,0,0
N92000002,Northern Ireland,nation,2021-12-26,367181,436,0,0
N92000002,Northern Ireland,nation,2021-12-25,367181,417,0,0
N92000002,Northern Ireland,nation,2021-12-24,367181,408,3286,3
N92000002,Northern Ireland,nation,2021-12-23,363895,410,3227,1
N92000002,Northern Ireland,nation,2021-12-22,360668,418,3231,3
N92000002,Northern Ireland,nation,2021-12-21,357437,412,2096,3
N92000002,Northern Ireland,nation,2021-12-20,355341,409,2148,1
N92000002,Northern Ireland,nation,2021-12-19,353193,427,1798,2
N92000002,Northern Ireland,nation,2021-12-18,351395,418,2075,5
N92000002,Northern Ireland,nation,2021-12-17,349320,420,1887,3
N92000002,Northern Ireland,nation,2021-12-16,347433,431,2237,6
N92000002,Northern Ireland,nation,2021-12-15,345196,427,2156,4
N92000002,Northern Ireland,nation,2021-12-14,343040,423,1581,4
N92000002,Northern Ireland,nation,2021-12-13,341459,438,1431,4
N92000002,Northern Ireland,nation,2021-12-12,340028,438,1548,3
N92000002,Northern Ireland,nation,2021-12-11,338480,427,1446,3
N92000002,Northern Ireland,nation,2021-12-10,337034,415,1806,2
N92000002,Northern Ireland,nation,2021-12-09,335228,429,1819,4
N92000002,Northern Ireland,nation,2021-12-08,333409,447,1933,5
N92000002,Northern Ireland,nation,2021-12-07,331476,449,1658,5
N92000002,Northern Ireland,nation,2021-12-06,329818,453,1635,1
N92000002,Northern Ireland,nation,2021-12-05,328183,449,1422,7
N92000002,Northern Ireland,nation,2021-12-04,326761,431,1642,9
N92000002,Northern Ireland,nation,2021-12-03,325119,428,1908,4
N92000002,Northern Ireland,nation,2021-12-02,323211,431,2272,2
N92000002,Northern Ireland,nation,2021-12-01,320939,422,1992,4
N92000002,Northern Ireland,nation,2021-11-30,318947,432,1585,2
N92000002,Northern Ireland,nation,2021-11-29,317362,433,1464,4
N92000002,Northern Ireland,nation,2021-11-28,315898,446,1405,2
N92000002,Northern Ireland,nation,2021-11-27,314493,432,1482,2
N92000002,Northern Ireland,nation,2021-11-26,313011,439,2004,9
N92000002,Northern Ireland,nation,2021-11-25,311007,452,1549,5
N92000002,Northern Ireland,nation,2021-11-24,309458,478,1931,4
N92000002,Northern Ireland,nation,2021-11-23,307527,483,1476,4
N92000002,Northern Ireland,nation,2021-11-22,306051,487,1469,3
N92000002,Northern Ireland,nation,2021-11-21,304582,495,1406,7
N92000002,Northern Ireland,nation,2021-11-20,303176,485,1846,6
N92000002,Northern Ireland,nation,2021-11-19,301330,483,1690,7
N92000002,Northern Ireland,nation,2021-11-18,299640,497,1681,6
N92000002,Northern Ireland,nation,2021-11-17,297959,510,1848,12
N92000002,Northern Ireland,nation,2021-11-16,296111,518,1698,5
N92000002,Northern Ireland,nation,2021-11-15,294413,532,1457,5
N92000002,Northern Ireland,nation,2021-11-14,292956,552,1377,5
N92000002,Northern Ireland,nation,2021-11-13,291579,541,1806,3
N92000002,Northern Ireland,nation,2021-11-12,289773,525,1087,2
N92000002,Northern Ireland,nation,2021-11-11,288686,521,1462,6
N92000002,Northern Ireland,nation,2021-11-10,287224,537,1765,7
N92000002,Northern Ireland,nation,2021-11-09,285459,534,1228,7
N92000002,Northern Ireland,nation,2021-11-08,284231,531,1028,11
N92000002,Northern Ireland,nation,2021-11-07,283203,538,1035,4
N92000002,Northern Ireland,nation,2021-11-06,282168,531,1194,6
N92000002,Northern Ireland,nation,2021-11-05,280974,533,1164,4
N92000002,Northern Ireland,nation,2021-11-04,279810,531,1481,12
N92000002,Northern Ireland,nation,2021-11-03,278329,525,995,9
N92000002,Northern Ireland,nation,2021-11-02,277334,535,1114,2
N92000002,Northern Ireland,nation,2021-11-01,276220,541,948,10
N92000002,Northern Ireland,nation,2021-10-31,275272,546,1001,6
N92000002,Northern Ireland,nation,2021-10-30,274271,538,1207,8
N92000002,Northern Ireland,nation,2021-10-29,273064,517,1321,7
N92000002,Northern Ireland,nation,2021-10-28,271743,512,1122,9
N92000002,Northern Ireland,nation,2021-10-27,270621,506,1291,6
N92000002,Northern Ireland,nation,2021-10-26,269330,507,1124,4
N92000002,Northern Ireland,nation,2021-10-25,268206,511,1019,4
N92000002,Northern Ireland,nation,2021-10-24,267187,502,1061,5
N92000002,Northern Ireland,nation,2021-10-23,266126,481,1323,10
N92000002,Northern Ireland,nation,2021-10-22,264803,475,1355,7
N92000002,Northern Ireland,nation,2021-10-21,263448,494,1051,4
N92000002,Northern Ireland,nation,2021-10-20,262397,494,1423,6
N92000002,Northern Ireland,nation,2021-10-19,260974,487,1367,8
N92000002,Northern Ireland,nation,2021-10-18,259607,488,1091,3
N92000002,Northern Ireland,nation,2021-10-17,258516,477,966,4
N92000002,Northern Ireland,nation,2021-10-16,257550,455,1218,4
N92000002,Northern Ireland,nation,2021-10-15,256332,456,1349,4
N92000002,Northern Ireland,nation,2021-10-14,254983,455,1304,6
N92000002,Northern Ireland,nation,2021-10-13,253679,457,1471,1
N92000002,Northern Ireland,nation,2021-10-12,252208,457,1278,6
N92000002,Northern Ireland,nation,2021-10-11,250930,456,1109,5
N92000002,Northern Ireland,nation,2021-10-10,249821,448,1115,3
N92000002,Northern Ireland,nation,2021-10-09,248706,441,1274,4
N92000002,Northern Ireland,nation,2021-10-08,247432,428,1276,2
N92000002,Northern Ireland,nation,2021-10-07,246156,439,1305,4
N92000002,Northern Ireland,nation,2021-10-06,244851,434,1339,2
N92000002,Northern Ireland,nation,2021-10-05,243512,433,1209,3
N92000002,Northern Ireland,nation,2021-10-04,242303,430,1080,3
N92000002,Northern Ireland,nation,2021-10-03,241223,427,892,2
N92000002,Northern Ireland,nation,2021-10-02,240331,415,992,1
N92000002,Northern Ireland,nation,2021-10-01,239339,412,1039,8
N92000002,Northern Ireland,nation,2021-09-30,238300,423,1163,2
N92000002,Northern Ireland,nation,2021-09-29,237137,427,1320,2
N92000002,Northern Ireland,nation,2021-09-28,235817,428,1078,4
N92000002,Northern Ireland,nation,2021-09-27,234739,437,903,4
N92000002,Northern Ireland,nation,2021-09-26,233836,438,1020,6
N92000002,Northern Ireland,nation,2021-09-25,232816,428,1120,5
N92000002,Northern Ireland,nation,2021-09-24,231696,420,1030,8
N92000002,Northern Ireland,nation,2021-09-23,230666,437,1165,8
N92000002,Northern Ireland,nation,2021-09-22,229501,458,1060,4
N92000002,Northern Ireland,nation,2021-09-21,228441,473,1145,4
N92000002,Northern Ireland,nation,2021-09-20,227296,469,1020,5
N92000002,Northern Ireland,nation,2021-09-19,226276,478,889,5
N92000002,Northern Ireland,nation,2021-09-18,225387,469,1072,6
N92000002,Northern Ireland,nation,2021-09-17,224315,466,1239,10
N92000002,Northern Ireland,nation,2021-09-16,223076,483,1071,5
N92000002,Northern Ireland,nation,2021-09-15,222005,500,1304,10
N92000002,Northern Ireland,nation,2021-09-14,220701,494,1590,7
N92000002,Northern Ireland,nation,2021-09-13,219111,513,1199,8
N92000002,Northern Ireland,nation,2021-09-12,217912,509,1031,6
N92000002,Northern Ireland,nation,2021-09-11,216881,505,1424,3
N92000002,Northern Ireland,nation,2021-09-10,215457,497,1687,6
N92000002,Northern Ireland,nation,2021-09-09,213770,525,1831,8
N92000002,Northern Ireland,nation,2021-09-08,211939,531,1210,6
N92000002,Northern Ireland,nation,2021-09-07,210729,535,1748,7
N92000002,Northern Ireland,nation,2021-09-06,208981,529,1764,9
N92000002,Northern Ireland,nation,2021-09-05,207217,522,1232,7
N92000002,Northern Ireland,nation,2021-09-04,205985,510,1812,7
N92000002,Northern Ireland,nation,2021-09-03,204173,498,1248,9
N92000002,Northern Ireland,nation,2021-09-02,202925,496,793,12
N92000002,Northern Ireland,nation,2021-09-01,202132,510,1472,9
N92000002,Northern Ireland,nation,2021-08-31,200660,504,1313,6
N92000002,Northern Ireland,nation,2021-08-30,199347,506,1259,6
N92000002,Northern Ireland,nation,2021-08-29,198088,491,1225,9
N92000002,Northern Ireland,nation,2021-08-28,196863,482,1430,6
N92000002,Northern Ireland,nation,2021-08-27,195433,482,1875,5
N92000002,Northern Ireland,nation,2021-08-26,193558,479,1550,4
N92000002,Northern Ireland,nation,2021-08-25,192008,463,1771,5
N92000002,Northern Ireland,nation,2021-08-24,190237,476,1648,12
N92000002,Northern Ireland,nation,2021-08-23,188589,464,1320,9
N92000002,Northern Ireland,nation,2021-08-22,187269,472,1485,11
N92000002,Northern Ireland,nation,2021-08-21,185784,455,1612,4
N92000002,Northern Ireland,nation,2021-08-20,184172,446,2397,9
N92000002,Northern Ireland,nation,2021-08-19,181775,461,1963,9
N92000002,Northern Ireland,nation,2021-08-18,179812,470,1345,11
N92000002,Northern Ireland,nation,2021-08-17,178467,484,1564,7
