areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
S92000003,Scotland,nation,2022-03-02,1467078,10788,1226,8725,20
S92000003,Scotland,nation,2022-03-01,1458444,10768,1191,7497,21
S92000003,Scotland,nation,2022-02-28,1390996,10672,1175,16349,16
S92000003,Scotland,nation,2022-02-27,1374798,10656,1180,0,0
S92000003,Scotland,nation,2022-02-26,1374798,10656,1149,0,0
S92000003,Scotland,nation,2022-02-25,1374798,10656,1093,5484,11
S92000003,Scotland,nation,2022-02-24,1369385,10645,1041,7195,16
S92000003,Scotland,nation,2022-02-23,1362296,10629,1093,6756,15
S92000003,Scotland,nation,2022-02-22,1355657,10614,1060,6427,18
S92000003,Scotland,nation,2022-02-21,1349320,10596,1051,5307,0
S92000003,Scotland,nation,2022-02-20,1344013,10596,1009,5474,0
S92000003,Scotland,nation,2022-02-19,1338539,10596,987,5316,14
S92000003,Scotland,nation,2022-02-18,1333332,10582,960,7056,16
S92000003,Scotland,nation,2022-02-17,1326382,10566,944,7144,22
S92000003,Scotland,nation,2022-02-16,1319373,10544,912,7449,16
S92000003,Scotland,nation,2022-02-15,1312019,10528,911,5805,16
S92000003,Scotland,nation,2022-02-14,1306292,10512,884,5118,0
S92000003,Scotland,nation,2022-02-13,1301234,10512,868,5301,0
S92000003,Scotland,nation,2022-02-12,1295991,10512,872,5601,16
S92000003,Scotland,nation,2022-02-11,1290487,10496,902,7341,11
S92000003,Scotland,nation,2022-02-10,1283259,10485,904,7275,24
S92000003,Scotland,nation,2022-02-09,1179974,10462,934,3796,15
S92000003,Scotland,nation,2022-02-08,1176188,10447,950,2664,14
S92000003,Scotland,nation,2022-02-07,1173535,10433,958,2535,0
S92000003,Scotland,nation,2022-02-06,1171004,10433,955,3242,2
S92000003,Scotland,nation,2022-02-05,1167763,10431,989,2915,24
S92000003,Scotland,nation,2022-02-04,1164870,10407,1042,4429,17
S92000003,Scotland,nation,2022-02-03,1160448,10390,1084,4355,31
S92000003,Scotland,nation,2022-02-02,1156123,10359,1116,4509,18
S92000003,Scotland,nation,2022-02-01,1151614,10341,1177,2848,30
S92000003,Scotland,nation,2022-01-31,1148772,10311,1207,1961,0
S92000003,Scotland,nation,2022-01-30,1146815,10311,1217,3539,2
S92000003,Scotland,nation,2022-01-29,1143275,10309,1263,3342,18
S92000003,Scotland,nation,2022-01-28,1139939,10291,1302,3956,16
S92000003,Scotland,nation,2022-01-27,1135991,10275,1319,4333,20
S92000003,Scotland,nation,2022-01-26,1131668,10255,1389,4615,33
