areaCode,areaName,areaType,date,cumCasesByPublishDate,cumDeaths28DaysByPublishDate,hospitalCases,newCasesByPublishDate,newDeaths28DaysByPublishDate
W92000004,Wales,nation,2022-03-02,816071,7001,,808,8
W92000004,Wales,nation,2022-03-01,815263,6993,579,2225,10
W92000004,Wales,nation,2022-02-28,813038,6983,578,339,4
W92000004,Wales,nation,2022-02-27,812699,6979,553,0,0
W92000004,Wales,nation,2022-02-26,812699,6979,543,0,0
W92000004,Wales,nation,2022-02-25,812699,6979,588,855,10
W92000004,Wales,nation,2022-02-24,811844,6969,596,1059,8
W92000004,Wales,nation,2022-02-23,810785,6961,599,903,5
W92000004,Wales,nation,2022-02-22,809882,6956,595,1672,12
W92000004,Wales,nation,2022-02-21,808210,6944,582,1114,1
W92000004,Wales,nation,2022-02-20,807096,6943,600,0,0
W92000004,Wales,nation,2022-02-19,807096,6943,598,0,0
W92000004,Wales,nation,2022-02-18,807096,6943,548,1260,8
W92000004,Wales,nation,2022-02-17,805836,6935,580,1352,4
W92000004,Wales,nation,2022-02-16,804484,6931,562,1124,8
W92000004,Wales,nation,2022-02-15,803360,6923,688,923,0
W92000004,Wales,nation,2022-02-14,802438,6923,671,2122,10
W92000004,Wales,nation,2022-02-13,800316,6913,673,1495,1
W92000004,Wales,nation,2022-02-12,798821,6912,671,0,0
W92000004,Wales,nation,2022-02-11,798821,6912,650,1899,18
W92000004,Wales,nation,2022-02-10,796922,6894,692,1761,5
W92000004,Wales,nation,2022-02-09,795161,6889,722,1388,17
W92000004,Wales,nation,2022-02-08,793773,6872,745,1107,0
W92000004,Wales,nation,2022-02-07,792667,6872,743,3382,9
W92000004,Wales,nation,2022-02-06,789285,6863,740,1868,11
W92000004,Wales,nation,2022-02-05,787417,6852,752,0,0
W92000004,Wales,nation,2022-02-04,787417,6852,774,2606,8
W92000004,Wales,nation,2022-02-03,784811,6844,768,2424,11
W92000004,Wales,nation,2022-02-02,782388,6833,769,1870,10
W92000004,Wales,nation,2022-02-01,780519,6823,803,1635,0
W92000004,Wales,nation,2022-01-31,778884,6823,794,4528,11
W92000004,Wales,nation,2022-01-30,774356,6812,772,2840,8
W92000004,Wales,nation,2022-01-29,771516,6804,777,0,0
W92000004,Wales,nation,2022-01-28,771516,6804,820,2772,6
W92000004,Wales,nation,2022-01-27,768744,6798,816,3007,10
W92000004,Wales,nation,2022-01-26,765737,6788,786,2707,4
W92000004,Wales,nation,2022-01-25,763031,6784,717,1977,2
W92000004,Wales,nation,2022-01-24,761054,6782,792,4327,11
W92000004,Wales,nation,2022-01-23,756727,6771,726,2827,8
W92000004,Wales,nation,2022-01-22,753899,6763,756,0,0
W92000004,Wales,nation,2022-01-21,753899,6763,808,2427,11
W92000004,Wales,nation,2022-01-20,751473,6752,797,2768,21
W92000004,Wales,nation,2022-01-19,748708,6731,800,2136,23
W92000004,Wales,nation,2022-01-18,746572,6708,844,1857,1
W92000004,Wales,nation,2022-01-17,744717,6707,850,3975,18
W92000004,Wales,nation,2022-01-16,740742,6689,858,2133,6
W92000004,Wales,nation,2022-01-15,738609,6683,846,0,0
W92000004,Wales,nation,2022-01-14,738609,6683,858,2864,4
W92000004,Wales,nation,2022-01-13,735745,6679,861,3197,11
W92000004,Wales,nation,2022-01-12,732548,6668,867,2886,14
W92000004,Wales,nation,2022-01-11,729662,6654,890,2176,4
W92000004,Wales,nation,2022-01-10,727486,6650,849,11693,16
W92000004,Wales,nation,2022-01-09,715796,6634,815,8923,8
W92000004,Wales,nation,2022-01-08,706873,6626,773,0,0
W92000004,Wales,nation,2022-01-07,706873,6626,752,7915,21
W92000004,Wales,nation,2022-01-06,698962,6605,723,9213,6
W92000004,Wales,nation,2022-01-05,689750,6599,702,21279,10
W92000004,Wales,nation,2022-01-04,668473,6589,677,22317,8
W92000004,Wales,nation,2022-01-03,646159,6581,631,0,0
W92000004,Wales,nation,2022-01-02,646159,6581,604,14036,14
W92000004,Wales,nation,2022-01-01,632125,6567,577,0,0
